Name,Geometry,Address
Amitabha Buddhist Society,"1.3149474,103.8864919",2 Lorong 35 Geylang
Ang Chee Sia Ong Temple,"1.3115972,103.7582789",131 West Coast Drive
Awareness Place,"1.3117732,103.6904266","231 Bain St, Singapore 180231"
Ban Hock Temple,"1.3687286,103.8701872",489 Serangoon North Avenue 1
Ban Siew San Temple,"1.2734053,103.8097061",2 Telok Blangah Drive
Beeh Low See Temple,"1.3395656,103.7713595",71B Jalan Jurong Kechil
Bei Hai Seventh Moon Society,"1.331893,103.9460993",282A Bedok Shopping Complex
Beo San Hood Chor Temple,"1.3161664,103.8556673",443 Race Course Road
Bliss and Wisdom Society,"1.3149155,103.8834159",23 Lorong 29 Geylang # 04-02
Bodhiraja Buddhist Society,"1.3133248,103.8843252","9, Lorong 30. Geylang Road."
Buddha Dhamma Mandala Society,"1.3264666,103.8421304","567 Balestier Rd, Singapore 329884"
Buddha Tooth Relic Temple,"1.2815014,103.8420485","288 South Bridge Rd, Singapore 058840"
Bukit Timah Tua Pek Kong Temple,"1.3411973,103.7721885",10 Jalan Seh Chuan
Burmese Buddhist Temple,"1.328372,103.8446029",14 Tai Gin Road
Chan Chor Min Tong Temple,"1.3260577,103.8476295",2 Jalan Kemaman
Charn Mao Hern Kew Huang Keng,"1.3259614,103.8899493",28 Arumugam Road
Chay Sien Tong Temple,"1.3117863,103.8578888",7 Hamilton Road
Chee Seng Temple,"1.3911443,103.7409378",17 Choa Chu Kang Street 51
Chek Chai Temple,"1.4358785,103.7514658",33 Kranji Loop
Chek Sian Tng Temple,"1.3681894,103.8549133",10 Ang Mo Kio Ave 10
Cheng Hong Siang Tng Temple,"1.3259021,103.8899677",30 Arumugam Road
Cheo Bu Tong Temple,"1.3356047,103.9468082","11 Bedok North Street 5, Ave 4"
Chern Nam Kong Siew Temple,"1.4342522,103.8393185",15 Yishun Avenue 9
Chia Leng Kong Heng Kang Tian Temple,"1.2776728,103.8266799","85A Silat Rd, Singapore 168871"
Chiang Chin Meow,"1.3228985,103.7593853",3302 Clementi Service Rd
Choa Chu Kang Lian He Temple,"1.3918159,103.7403966",11 Choa Chu Kang Street 51
Chong Fu Tang,"1.3464023,103.8709912",9 Wolskel Road
Chong Pang Combined Temple,"1.43499,103.83274",561 Yishun Ring Road
Chu Siang Tong,"1.4348828,103.8306056",561 Yishun Ring Road
Chwee Bee Temple,"1.3357381,103.9491809",1 Bedok North Street 5
Chwee Long Tow Tua Pek Kong Temple,"1.3472983,103.7035665",2 Jurong West Street 76
Ci Ern Ge,"1.3337367,103.8463104",177 Toa Payoh Central
Cuppage Temple,"1.3031565,103.8381327",57 Cuppage Road
Da Sheng Kong Chinese Temple,"1.3282651,103.8910118",146 Paya Lebar Road
Dharna Cakra Society,"1.3207005,103.9032104",40 Jalan Eunos
Di Zhang Lin,"1.3327152,103.8819092","469 MacPherson Rd, Singapore 368186"
Ean Keng Si Buddhist Temple,"1.3149391,103.9165238",48 Frankel Avenue
Eit San Tong Temple,"1.3177649,103.8713173",582 Lorong 3 Geylang
Fa Hua Monastery,"1.3494498,103.8775335",381 Upper Paya Lebar Road
Fa Shi Lin Temple,"1.3255574,103.9106791",1 Lengkong Satu
Fo Guang Shan,"1.4067726,103.9032593",1 Punggol Place
Fo Shan Ting Da Bo Gong Temple,"1.4031136,103.9678464","46, Changi Point, Pulau Ubin"
Foo Hai Ch'an Monastery,"1.3179156,103.8862111",87 Geylang East Avenue 2
Fu Hup Thong Fook Tak Kung,"1.3240866,103.8515574",15 Kim Keat Lane
Fu Shan An,"1.3151741,103.8829628",28 Lorong 27A Geylang
Fuk Tak Chi Museum,"1.2829172,103.8465457",76 Telok Ayer St
Gek Hong Temple,"1.3120094,103.8848903",14 Lorong 26 Geylang
German Girl Shrine,"1.4091819,103.9471118","South West of Pulau Ubin, Changi, Singapore"
Geylang United Temple,"1.319699,103.8939957",103 Eunos Road 5
Giam Loh Tian Temple,"1.3238637,103.8634241",3 Beng Wan Road
Goh Chor Tua Pek Kong,"1.321735,103.8504892",249 Balestier Road Singapore
Guan Yun Dian,"1.3915841,103.7402404",51 Choa Chu Kang Street 51
Hai Inn Temple,"1.3766994,103.7321905",33 Brickland Road
Hai Lam Sua Tee Kong Toa Temple,"1.350444,103.8333202",175 Upper Thomson Road
Ho Lim Keng Temple,"1.2842296,103.8342357",20 Outram Hil
Hock Chuan Monastery,"1.3355339,103.9472814",1 Bedok North Street 5
Hock San Teng,"1.3285273,103.9170138",6 Chai Chee Lane
Hock Siew Tong Temple,"1.3148547,103.8543837","357 Race Course Rd, Singapore 218633"
Hong Lai Sze,"1.3492085,103.8852509",150 Hougang Avenue 1
Hong Leng Yien Temple,"1.314286,103.8427606",116 Keng Lee Road
Hong San See Temple,"1.2932894,103.8386735","31 Mohamed Sultan Rd, Singapore 238975"
Hong San Si Temple,"1.3199152,103.9079055",17 Lorong Melayu
Hong San Temple,"1.3403442,103.8946856","49 Defu Lane 12, Singapore 539142"
Hoon San Keng Temple,"1.3164512,103.8988122",27 Jln Lim Tai See
Huang Lao Xian Shi Temple,"1.3311603,103.8774723","364D MacPherson Rd, Singapore 368112"
Hwee San Temple,"1.4435877,103.833507",527 Yishun Industrial Park A
Jalan Kayu Joint Temple,"1.3917338,103.8703113",70 Sengkang West Avenue
Ji Zheng Gong,"1.3154207,103.8801847","15 Lor 21A Geylang, Singapore 388432"
Jiang De Tang Temple,"1.3164574,103.8518791",10 Rangoon Lane
Jin Fu Gong Temple,"1.3410418,103.6884706",20 Jurong West St 92
Jin Long Si Temple,"1.338641,103.8872493",32 Tai Seng Avenue
Jin Men Hui Guan Fu Ji Temple,"1.3124223,103.8471031",72 Keng Lee Rd
Jin San Shi,"1.3151314,103.9252332",25 Jln Ulu Siglap
Jui Huang Da Ti Temple,"1.3549755,103.879267",779A Upper Serangoon Rd
Jurong Temple,"1.3470721,103.6986823",741 Jurong West Street 42
Jurong West United Temple,"1.349445,103.7179493","60 Jurong West Street 41, Singapore 649407"
Kai San Temple,"1.2792536,103.8259787",1300 Jalan Bukit Merah
Kancanarama Buddhist Temple,"1.3487791,103.8774584",2 Lorong Ong Lye
Karma Kagyud Buddhist Centre,"1.3107667,103.8797211","38 Lor 22 Geylang, Singapore 398695"
Katho Chengsia Temple,"1.3148315,103.8847984",18 Lorong 31 Geylang
Kew Ong Yah Temple,"1.4348879,103.8304546","561 Yishun Ring Road , #01-02 & #01-03"
Kiew Lee Tong Temple,"1.3652687,103.8263734",5 Jalan Tambur (off Upper Thomson Road)
Kim Hong Temple,"1.3257255,103.8897814",26 Arumugam Road
Kim Lan Beo Temple,"1.2825204,103.8251361",119A Kim Tian Road
Kong Leap Thiam Lim Tua Temple,"1.3129104,103.8854773",39 Lorong 34 Geylang
Kong Meng San Phor Kark See Monastery,"1.361575,103.8333235",88 Bright Hill Road
Kong Seng Ting Temple,"1.272164,103.8081022",4 Telok Blangah Drive
Kuan Im Kuan Ti Kong Temple,"1.3115926,103.9009519,",205 Joo Chiat Road
Kuan Im Tng Temple (Joo Chiat),"1.3125,103.8989224","62 Tembeling Rd, Singapore 423586"
Kuang Chee Tng Buddhist,"1.3187335,103.8468296",125 Moulmein Road
Kwan Im Thong Hood Cho Temple,"1.3008663,103.8508094",178 Waterloo St
Kwan Yam Theng Buddhist Temple,"1.2918723,103.8100145",245 Alexandra Road
Kwang Im Tng Temple (Balestier),"1.3259614,103.8441013","525 Balestier Rd, Singapore 329854"
Kwong Wai Siew Peck San Theng,"1.3459501,103.8428001",50 Kampong San Teng (Bishan Lane)
Lam Hai Poh Toh San Temple,"1.3651232,103.8736144",825B Chuan Hoe Avenue
Lang Yuan Yan,"1.3263808,103.8895968",15 Arumugam Road
Leang San King Temple,"1.3614729,103.8312753",55 Lorong Puntong
Lei Yin Temple,"1.2834711,103.8218525",195E Bukit Merah View
Leng Ern Jee temple,"1.3272227,103.8454781",15 Jalan Rajah
Leng Foong Prajna Temple,"1.3252674,103.9099543",28 Lengkong Dua
Leng Hup San Chee Chea Temple,"1.3805464,103.7514423",4 Teck Whye Lane
Leng San Giam Temple,"1.3663098,103.8365198",791 Ang Mo Kio Ave 1
Leng Teck Hood Yee Temple,"1.3219595,103.9118252",36 Jalan Kembangan
Leong San See Temple,"1.3152023,103.8546503",371 Race Course Road
Leong Wah Temple,"1.318476,103.8460483","67 Shrewsbury Rd, Singapore 307834"
Li Teck Chuan Cin Tong Chinese Temple,"1.315991,103.8985422",8 Lorong 102 Changi
Lian Chee Kek Buddhist Temple,"1.3493791,103.8800546",36b Paya Lebar Crescent
Lian Shan Shuang Lin Monastery,"1.3298881,103.8542681",184E Jalan Toa Payoh
Lian Shan Shuang Lin Monastery,"1.3298881,103.8542681",184 Jalan Toa Payoh
Lim See Tai Chong Soo Kiu Leong Tong,"1.2749623,103.8391373",239 Cantonment Road
Lin Chee Cheng Sia Temple,"1.3611914,103.8803823","14E / F Richards Avenue, 546415-6"
Lin Shan Temple,"1.2900767,103.812894","1 Leng Kee Rd, Singapore 159085"
Ling Ci Xing Gong,"1.3145026,103.8466205",53 Truro Road
Long Quan Yan,"1.3807654,103.8391871",48 Ang Mo Kio Street 61
Long Shan Tang Temple,"1.3163732,103.8553137","9 Tessensohn Rd, Singapore 217647"
Lord Buddha Temple,"1.3258881,103.8896949",24 Arumugam Road
Loyang Tua Pek Kong Temple,"1.3712663,103.9676859",20 Loyang Way
Man Fatt Lam Temple,"1.3266721,103.9480891",211 Bedok Road
Mao Shan Tian Yin Fa Tan Heng Fo Si,"1.3147534,103.8544753",370 Race Course Road
Meow Im Kok Yuen Temple,"1.3458418,103.8675075",9 Jalan Lateh
Monkey God Temple,"1.2838227,103.8343288","44 Eng Hoon St, Singapore 169786"
Nam Ann Siang Theon,"1.3487091,103.8779658",36E Paya Lebar Crescent
Nan Hai Fei Lai Temple,"1.3150186,103.8813545","35 Lor 27 Geylang, Singapore 388170"
Nanyang Sacred Union,"1.2946227,103.8395519",253 River Valley Road
Nanyang Thong Hong Siang Thng Temple,"1.3937534,103.8878473",63 Anchorvale Walk
Nichiren Shoushu Buddhist Association,"1.3147465,103.87745",177 Sims Avenue
North Bridge Road Tua Pek Kong Temple,"1.3060875,103.8614721",861 North Bridge Road
Nyingma Kathok Buddhist Centre,"1.3133329,103.8778728","9 Lor 21 Geylang, Singapore 388456"
Palelai Buddhist Temple,"1.3312905,103.9439707",49 Bedok Walk
Pao Kwan Foh Tang Temple,"1.3517136,103.8346733",21 Shunfu Road
Peng Lai Dian,"1.4611095,103.8093333",26 Admiralty Street
People's Buddhism Study Society,"1.3119436,103.8802205",25 Lorong 22 Geylang
Phang Pheng Mei Temple,"1.3269757,103.8502792",12 Jalan Ampas
Phoh Teck Siang Tng,"1.2758716,103.7769037",106 Pasir Panjang Road
Poh Chung Tian Chor Sian Tong Temple,"1.3320769,103.8538188",201 Toa Payoh Lorong 6
Poh Ern Shin Temple,"1.2792209,103.7864393",9 Chwee Chian Road
Poh Jay Temple,"1.3171845,103.9089251",66 Lorong G Telok Kurau
Poh Ming Tse Temple,"1.3252119,103.8075167",438 Dunearn Road
Poh Teck Siang Tng,"1.3656747,103.893406","109 Hougang Ave 5, S)538817 Tian De Temple, Singapore 538817"
Poh Tiong Kiong Temple,"1.3145674,103.8814552",19 Lor 27 Geylang
Poo Thor Jee Temple,"1.2771437,103.8402389",7 Yan Kit Road
Pu Guan Tang Buddhist Society,"1.3122062,103.8741966",5 Geylang Lor 9
Pu Ti Buddhist Temple,"1.3805727,103.8943701",121C Punggol Road
Pu Ti Lan Ruo,"1.3082894,103.9108368",37 Saint Patrick's Road.
Puat Jit Buddhist Temple,"1.3934484,103.8880453",61 Anchorvale Link
Qi Tian Tan Temple,"1.281465,103.8121233","578 Telok Blangah Rd, Singapore 109024"
Qing De Tang Temple,"1.281465,103.8121233",13 Lorong Ampas
Qing Yun Temple,"1.3528934,103.8779643",20 Hougang Street 11
Qiong Yao Xian Jiao,"1.3115169,103.8800115",10 C Lorong 22 Geylang
Sagaramudra Buddhist Society,"1.3142031,103.8832573",No 5 Lorong 29 Geylang
Sai Ho Piat Su,"1.3548099,103.8765457",777 Upper Serangoon Road
Sakya Muni Buddha Gaya Temple,"1.3147276,103.8547557",366 Race Course Road
Sakya Tenphel Ling Temple,"1.3692246,103.9568387",5 Pasir Ris Drive 4
San Jiang Gong Ci Temple,"1.2814388,103.8123801",96 Depot Road
San Qing Gong,"1.3352778,103.9475335",21 Bedok North Ave 4
Sattha Puchaniyaram Buddhist Temple,"1.3470296,103.7382822",395 Bukit Batok West Avenue 8
See Thian Foh Combined Temple,"1.3400917,103.7550106",557 Bukit Batok Street 23
Seh Ong Charity,"1.3408696,103.7507826",560 Bukit Batok Street 23
Sembawang God of Wealth Temple,"1.4608277,103.8089243",28 Admiralty Street
Sembawang Tian Ho Keng,"1.4609967,103.8092869",24 Admiralty Street
Seu Teck Sean Tong Yiang Sin Sia Temple,"1.3328728,103.9314581",335 Bedok North Ave 3
Shan Fook Tong Temple,"1.3124691,103.8736054","5 Lor 7 Geylang, Singapore 388789"
Shang Di Miao Chai Kong Temple,"1.4395085,103.7807128",10 Marsiling Industrial Estate Road 3
Sheng Hong Temple,"1.3209109,103.7484736",300 Pandan Gardens
Shi Niu Dong Temple,"1.3327461,103.8972595",33 Geylang Lorong 24
Shun Xi Gong Shui Chi Lin,"1.4342522,103.8393185",19 Yishun Avenue 9
Si Dao Feng Jiao Temple,"1.3123056,103.8758602",638 Lorong 3 Geylang
Sian Keng Tong Temple,"1.3174316,103.9040573",216 Changi Road
Siang Cho Keong Temple,"1.2799319,103.8442926",66 Amoy Street
Sim Choon Huat Temple,"1.3265633,103.8638593",17D Moonstone Lane
Sim Poh Seng Temple,"1.312333,103.9034649",110 Koon Seng Road
Singapore Buddhist Mission,"1.3274794,103.8645929",9 Ruby Lane
Singapore Buddhist Youth Mission,"1.3230177,103.7596053",3306 Commonwealth Avenue West
Singapore Chin Leng Keng,"1.2863725,103.8141171",98T Redhill Close
Singapore Han Clan Temple,"1.3157378,103.8469964",2 Derbyshire Road
Singapore Soka Centre (Geylang),"1.3106585,103.8786883",57 Lorong 18 Geylang
Soka Culture Centre,"1.3475623,103.7019043",8 Jurong West Street 76
Soka Youth Centre,"1.2770594,103.7887353",156 Pasir Panjang Road
Soon Leng Temple,"1.3916296,103.740362",9 Choa Chu Kang Street 51
Soon San Teng Temple,"1.3278294,103.916211",42 Senang Crescent
Soon Thian Keing Temple,"1.3147971,103.8835057",19 Lorong 29 Geylang
Sri Lankaramaya Buddhist Temple,"1.3268337,103.8608863",30c St. Michael's Road
Swatow Sia Temple,"1.3141909,103.8875764",5 Lorong 40 Geylang
Swee Kow Kuan Temple,"1.3803183,103.8391289",46 Ang Mo Kio Street 61
Sze Cheng Keng Temple,"1.3327409,103.8973943",16 Ubi Road 4 #02-01
Tai Kak Seah Temple,"1.3130075,103.9102845",86 Lorong K Telok Kurau
Tampines Soka Centre,"1.3444544,103.9408843",5 Tampines Street 92
Tan Si Chong Su Temple,"1.2894095,103.8406668",15 Magazine Rd
Tang Gah Beo,"1.2738977,103.8256941",6 Bukit Purmei
Tee Kwee Hood Sia Temple,"1.3171474,103.9362775",15 Sennett Road
Teng San Tian Hock Temple,"1.368999,103.8705139",489 Serangoon North Avenue 1
Teong Siew Kuan Temple,"1.4226023,103.8308105","362, Yishun Avenue 3"
The Buddhist Union,"1.3416119,103.8812718",28 Jalan Senyum
The Mahaprajna Buddhist Sociery,"1.3131108,103.8926725",11 Lorong 35 Geylang
The Singapore Buddhist Lodge,"1.2946604,103.8366315","17-19 Kim Yam Rd, Singapore 239329"
Thekchen Choling,"1.3121564,103.8581633","2 Beatty Ln, Singapore 209945"
Then Shen Temple,"1.3116144,103.8774113",24 Lorong 16 Geylang
Thian Hock Keng Temple,"1.2809405,103.8454408","158 Telok Ayer St, Singapore 068613"
Thian Ling Chong Toh Tong Temple,"1.3187103,103.9112184",472 Changi Road
Thian Ling Toh Thong,"1.3400851,103.7547624",551 Bukit Batok Street 23
Thian Sing Keong Temple,"1.3065382,103.8512983",58C Upper Weld Road
Thong Teck Sian Thong Lian Sin Sia Temple,"1.3264398,103.8471291",1A Boon Teck Road
Ti-Sarana Buddhist Association,"1.3123166,103.8568826","5 Sturdee Rd, Spore 207838"
Tian Bao Tang,"1.3183423,103.846838","88a Shrewsbury Road,"
Tian De Temple,"1.3657973,103.8935244",109 Hougang Avenue 5
Tian Gong Tan Zhao Ling Temple,"1.3491424,103.7203264",62 Jurong West Street 41
Tian Kong Buddhist Temple,"1.3359521,103.9468125",51 Bedok North Avenue 4
Tian Teck Keng Temple,"1.3673767,103.9263184","95 Tampines Link, Singapore 528745"
Tian Wen Tan,"1.3833336,103.7695341",15 Fajar Road
Tibetan Buddhist Studies Society,"1.3130526,103.8747865","21 Lor 11 Geylang, Singapore 388713"
Tien Kong Thun Temple,"1.3519587,103.8417139","68 Jln Pemimpin, Singapore 577220"
Tien Loong Thong,"1.3161355,103.8580228",448 Race Course Road
Ting Kong Temple,"1.2714484,103.8067988",578 Telok Blangah Road
Tioh Hin Cho Temple,"1.3160833,103.9029104",121A Langsat Road
Tiong Bahru Qi Tian Gong Temple,"1.2837888,103.8321176",44 Eng Hoon Street
Tiong Ghee Temple,"1.2911658,103.8018088","1085 Stirling Road, Queenstown"
Toa Payoh Seu Teck Sean Tong,"1.3385734,103.8494803",2 Lorong 6 Toa Payoh
Tong Sian Tng Temple,"1.2982954,103.8353413",31 Devonshire Road
Tong Tek Buddhist Temple,"1.3232459,103.8621226",1055 Serangoon Road
Tong Whye Temple,"1.3457102,103.7320143",212 Jurong East Street 32
Tsan Tan Lim Temple,"1.3213593,103.9050304",20 Jalan Yasin
Tse Tho Aum Temple,"1.3616371,103.8363021","601 Sin Ming Dr, Singapore 575719"
Tuas Pek Kong Keng,"1.3447276,103.7111446",118 Boon Lay Drive
Ubin Thai Buddhist Temple,"1.3915203,103.8702117",72 Sengkang West Avenue
United Five Temples of Toa Payoh,"1.3387068,103.8543352",177L Lorong 7 Toa Payoh
Uttamayanmuni Buddhist Temple,"1.3785749,103.7434579",32B Hong San Terrace
Visuddha Meditation Centre ,"1.3280354,103.9065793",107 Jalan Langgar Bedok
Wang Hai Da Bo Gong Miao,"1.2734699,103.8290177",50H Palmer Rd
Wat Ananda Metyarama Thai Buddhist Temple,"1.2783561,103.8268009",50B Jalan Bukit Merah
Wei Tuo Fa Gong Temple,"1.4084814,103.9584523",224J Pulau Ubin
Wu Hong Yan Kong Temple,"1.3732717,103.8681166","21 Serangoon North Ave 3, Singapore 555862"
Wu Tai Shan Temple,"1.3032495,103.7624371",151 West Coast Road
Xie He Gong,"1.2744164,103.8050883",101 Telok Blangah Drive
Xin Ba Da Bo Gong,"1.355874,103.9474697",25 Tampines Street 21
Xuan Ling Gong,"1.3127139,103.8810761",10 Geylang Lorong 24
Yan Kit Village Chinese Temple,"1.3595251,103.9661537",130 Mariam Way
Yu Huang Zhi Zun Temple,"1.3151093,103.8829758",26 Lorong 27a Geylang
Yuan Meng Shih Temple,"1.317934,103.9468141",631 Upper East Coast Road
Yuan Shou Tang,"1.4340997,103.8393834",17 Yishun Avenue 9
Yueh Hai Ching Temple,"1.2846771,103.8470627",30B Phillip Street
Yun Teck Sian Tng Thong Sin Sia,"1.3132747,103.8765925",15B Geylang Lor 13
Zeh Shing Keong Temple,"1.3545754,103.8323313",20 Jalan Keli
Zhao Hui Miao,"1.3151374,103.8548733",390 Race Course Road
Zhong Yi Tian Ming Miao,"1.373187,103.8678998",21 Serangoon North Avenue 3
Chai Chee United Temple,"1.3284894,103.9169324",7 Chai Chee Lane
Zhun Ti Ge,"1.2795311,103.8392561",13 Keong Saik Road
Zi Yun Kai Ji Kong Temple,"1.358809,103.8904363","56 Hougang Ave 3, Singapore 538841"
