"region";"subregion";"key";"value"
"2019";"Total";"Chinese";4111622
"2019";"Total";"Malay";652138
"2019";"Total";"Indian";437468
"2019";"Total";"Others";146323
"2018";"Total";"Chinese";4018273
"2018";"Total";"Malay";640291
"2018";"Total";"Indian";431202
"2018";"Total";"Others";144988
"2017";"Total";"Chinese";3937505
"2017";"Total";"Malay";629487
"2017";"Total";"Indian";426230
"2017";"Total";"Others";143429
"2016";"Total";"Chinese";3855672
"2016";"Total";"Malay";619690
"2016";"Total";"Indian";420917
"2016";"Total";"Others";140791
"2015";"Total";"Chinese";3781701
"2015";"Total";"Malay";610925
"2015";"Total";"Indian";416048
"2015";"Total";"Others";140791